year,quarter,origin_city,destination_city,distance_miles,passengers,avg_fare,largest_carrier,largest_carrier_market_share,largest_carrier_fare,lowest_fare_carrier,lowest_fare_carrier_share,lowest_fare,year_quarter,fare_per_mile
2008,3,"Portland, OR","Washington, DC (Metropolitan Area)",2358,821.3,279.29,UA,0.27,349.47,DL,0.16,228.19,2008_Q3,0.1184
2008,3,"Milwaukee, WI","Orlando, FL",1066,819.13,129.63,FL,0.48,125.82,FL,0.48,125.82,2008_Q3,0.1216
2008,3,"Austin, TX","Washington, DC (Metropolitan Area)",1342,818.91,251.47,WN,0.36,210.78,DL,0.12,170.99,2008_Q3,0.1874
2008,3,"Phoenix, AZ","Sacramento, CA",647,818.47,166.5,WN,0.7,166.86,WN,0.7,166.86,2008_Q3,0.2573
2008,3,"Austin, TX","Chicago, IL",978,816.63,208.99,AA,0.59,204.89,AA,0.59,204.89,2008_Q3,0.2137
2008,3,"Boston, MA (Metropolitan Area)","Fort Myers, FL",1272,811.52,157.77,B6,0.48,160.09,US,0.17,149.2,2008_Q3,0.124
2008,3,"Atlanta, GA (Metropolitan Area)","St. Louis, MO",483,810.32,154.46,DL,0.5,162.85,FL,0.25,139.74,2008_Q3,0.3198
2008,3,"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",554,809.34,177.67,DL,0.46,187.83,FL,0.32,141.66,2008_Q3,0.3207
2008,3,"Chicago, IL","San Antonio, TX",1041,807.06,178.64,AA,0.48,170.25,AA,0.48,170.25,2008_Q3,0.1716
2008,3,"Denver, CO","Sacramento, CA",909,806.63,159.54,WN,0.33,129.7,WN,0.33,129.7,2008_Q3,0.1755
2008,3,"Atlanta, GA (Metropolitan Area)","Milwaukee, WI",669,792.71,148.79,FL,0.36,128.94,FL,0.36,128.94,2008_Q3,0.2224
2008,3,"Kansas City, MO","Orlando, FL",1072,792.28,141.41,WN,0.37,162.45,FL,0.26,119.59,2008_Q3,0.1319
2008,3,"Las Vegas, NV","Pittsburgh, PA",1910,789.45,200.16,US,0.37,226.01,WN,0.37,185.27,2008_Q3,0.1048
2008,3,"Las Vegas, NV","San Antonio, TX",1069,788.58,184.49,WN,0.59,203.57,UA,0.07,134.63,2008_Q3,0.1726
2008,3,"Charlotte, NC","Miami, FL (Metropolitan Area)",650,780.21,180.43,US,0.58,200.53,B6,0.15,135.64,2008_Q3,0.2776
2008,3,"Dallas/Fort Worth, TX","Lubbock, TX",293,778.8,105.9,WN,0.81,105.52,WN,0.81,105.52,2008_Q3,0.3614
2008,3,"Los Angeles, CA (Metropolitan Area)","San Antonio, TX",1211,778.04,206.34,WN,0.33,216.43,US,0.13,188.71,2008_Q3,0.1704
2008,3,"Columbus, OH","Washington, DC (Metropolitan Area)",336,776.73,145.59,WN,0.75,114.59,WN,0.75,114.59,2008_Q3,0.4333
2008,3,"Houston, TX","Seattle, WA",1894,775.1,287.19,CO,0.68,292.76,WN,0.11,246.27,2008_Q3,0.1516
2008,3,"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)",929,774.23,212.66,AA,0.74,212.21,AA,0.74,212.21,2008_Q3,0.2289
2008,3,"Austin, TX","Denver, CO",775,769.34,141.53,F9,0.38,124.51,F9,0.38,124.51,2008_Q3,0.1826
2008,3,"Detroit, MI","St. Louis, MO",440,766.84,120.47,NW,0.54,120.73,WN,0.42,117.95,2008_Q3,0.2738
2008,3,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",337,759.45,151.38,FL,0.37,114.29,FL,0.37,114.29,2008_Q3,0.4492
2008,3,"Denver, CO","Miami, FL (Metropolitan Area)",1709,759.34,212.55,UA,0.25,237.33,WN,0.13,165.71,2008_Q3,0.1244
2008,3,"Indianapolis, IN","Tampa, FL (Metropolitan Area)",838,758.15,117.66,FL,0.56,109.79,NW,0.12,108.5,2008_Q3,0.1404
2008,3,"Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",526,756.41,163.16,DL,0.6,173.35,FL,0.33,137.48,2008_Q3,0.3102
2008,3,"New York City, NY (Metropolitan Area)","San Antonio, TX",1624,754.78,243.89,CO,0.43,290.63,DL,0.11,194.69,2008_Q3,0.1502
